char_code,dt,nominal,name,value,num_code
AZN,2018-03-30,1,Азербайджанский манат,33.9281,944
BGN,2018-03-30,1,Болгарский лев,36.3493,975
BRL,2018-03-30,1,Бразильский реал,17.3942,986
BYN,2018-03-30,1,Белорусский рубль,29.5915,933
CAD,2018-03-30,1,Канадский доллар,44.7217,124
CHF,2018-03-30,1,Швейцарский франк,60.358,756
CNY,2018-03-30,10,Китайских юаней,91.8003,156
CZK,2018-03-30,10,Чешских крон,27.9505,203
DKK,2018-03-30,10,Датских крон,95.395,208
EUR,2018-03-30,1,Евро,71.0942,978
GBP,2018-03-30,1,Фунт стерлингов Соединенного королевства,81.1853,826
HKD,2018-03-30,10,Гонконгских долларов,73.5923,344
HUF,2018-03-30,100,Венгерских форинтов,22.7537,348
INR,2018-03-30,100,Индийских рупий,88.6337,356
JPY,2018-03-30,100,Японских иен,54.1888,392
KGS,2018-03-30,100,Киргизских сомов,84.3496,417
KRW,2018-03-30,1000,Вон Республики Корея,54.1792,410
KZT,2018-03-30,100,Казахстанских тенге,18.1102,398
MDL,2018-03-30,10,Молдавских леев,35.0608,498
NOK,2018-03-30,10,Норвежских крон,73.3866,578
PLN,2018-03-30,1,Польский злотый,16.8971,985
RON,2018-03-30,1,Румынский лей,15.2682,946
SEK,2018-03-30,10,Шведских крон,69.0296,752
SGD,2018-03-30,1,Сингапурский доллар,44.013,702
TJS,2018-03-30,10,Таджикских сомони,65.4905,972
TMT,2018-03-30,1,Новый туркменский манат,16.5272,934
TRY,2018-03-30,1,Турецкая лира,14.414,949
UAH,2018-03-30,10,Украинских гривен,21.7603,980
USD,2018-03-30,1,Доллар США,57.7626,840
UZS,2018-03-30,10000,Узбекских сумов,70.9789,860
XDR,2018-03-30,1,СДР (специальные права заимствования),84.193,960
ZAR,2018-03-30,10,Южноафриканских рэндов,48.9074,710
AMD,2018-03-31,100,Армянских драмов,11.9426,051
AUD,2018-03-31,1,Австралийский доллар,44.1169,036
AZN,2018-03-31,1,Азербайджанский манат,33.6358,944
BGN,2018-03-31,1,Болгарский лев,36.0974,975
BRL,2018-03-31,1,Бразильский реал,17.3267,986
BYN,2018-03-31,1,Белорусский рубль,29.329,933
CAD,2018-03-31,1,Канадский доллар,44.5156,124
CHF,2018-03-31,1,Швейцарский франк,60.0828,756
CNY,2018-03-31,10,Китайских юаней,91.2719,156
CZK,2018-03-31,10,Чешских крон,27.8269,203
DKK,2018-03-31,10,Датских крон,94.7263,208
EUR,2018-03-31,1,Евро,70.5618,978
GBP,2018-03-31,1,Фунт стерлингов Соединенного королевства,80.4915,826
HKD,2018-03-31,10,Гонконгских долларов,72.9619,344
HUF,2018-03-31,100,Венгерских форинтов,22.5977,348
INR,2018-03-31,100,Индийских рупий,87.9443,356
JPY,2018-03-31,100,Японских иен,53.9294,392
KGS,2018-03-31,100,Киргизских сомов,83.5685,417
KRW,2018-03-31,1000,Вон Республики Корея,53.935,410
KZT,2018-03-31,100,Казахстанских тенге,17.9829,398
MDL,2018-03-31,10,Молдавских леев,34.8009,498
NOK,2018-03-31,10,Норвежских крон,73.1091,578
PLN,2018-03-31,1,Польский злотый,16.7853,985
RON,2018-03-31,1,Румынский лей,15.1607,946
SEK,2018-03-31,10,Шведских крон,68.6572,752
SGD,2018-03-31,1,Сингапурский доллар,43.717,702
TJS,2018-03-31,10,Таджикских сомони,64.8725,972
TMT,2018-03-31,1,Новый туркменский манат,16.3848,934
TRY,2018-03-31,1,Турецкая лира,14.4692,949
UAH,2018-03-31,10,Украинских гривен,21.7613,980
USD,2018-03-31,1,Доллар США,57.2649,840
UZS,2018-03-31,10000,Узбекских сумов,70.3586,860
XDR,2018-03-31,1,СДР (специальные права заимствования),83.2443,960
ZAR,2018-03-31,10,Южноафриканских рэндов,48.4176,710
AMD,2018-04-01,100,Армянских драмов,11.9426,051
AUD,2018-04-01,1,Австралийский доллар,44.1169,036
AZN,2018-04-01,1,Азербайджанский манат,33.6358,944
BGN,2018-04-01,1,Болгарский лев,36.0974,975
BRL,2018-04-01,1,Бразильский реал,17.3267,986
BYN,2018-04-01,1,Белорусский рубль,29.329,933
CAD,2018-04-01,1,Канадский доллар,44.5156,124
CHF,2018-04-01,1,Швейцарский франк,60.0828,756
CNY,2018-04-01,10,Китайских юаней,91.2719,156
CZK,2018-04-01,10,Чешских крон,27.8269,203
DKK,2018-04-01,10,Датских крон,94.7263,208
EUR,2018-04-01,1,Евро,70.5618,978
GBP,2018-04-01,1,Фунт стерлингов Соединенного королевства,80.4915,826
HKD,2018-04-01,10,Гонконгских долларов,72.9619,344
HUF,2018-04-01,100,Венгерских форинтов,22.5977,348
INR,2018-04-01,100,Индийских рупий,87.9443,356
JPY,2018-04-01,100,Японских иен,53.9294,392
KGS,2018-04-01,100,Киргизских сомов,83.5685,417
KRW,2018-04-01,1000,Вон Республики Корея,53.935,410
KZT,2018-04-01,100,Казахстанских тенге,17.9829,398
MDL,2018-04-01,10,Молдавских леев,34.8009,498
NOK,2018-04-01,10,Норвежских крон,73.1091,578
PLN,2018-04-01,1,Польский злотый,16.7853,985
RON,2018-04-01,1,Румынский лей,15.1607,946
SEK,2018-04-01,10,Шведских крон,68.6572,752
SGD,2018-04-01,1,Сингапурский доллар,43.717,702
TJS,2018-04-01,10,Таджикских сомони,64.8725,972
TMT,2018-04-01,1,Новый туркменский манат,16.3848,934
TRY,2018-04-01,1,Турецкая лира,14.4692,949
UAH,2018-04-01,10,Украинских гривен,21.7613,980
USD,2018-04-01,1,Доллар США,57.2649,840
UZS,2018-04-01,10000,Узбекских сумов,70.3586,860
XDR,2018-04-01,1,СДР (специальные права заимствования),83.2443,960
ZAR,2018-04-01,10,Южноафриканских рэндов,48.4176,710
AMD,2018-04-02,100,Армянских драмов,11.9426,051
AUD,2018-04-02,1,Австралийский доллар,44.1169,036
AZN,2018-04-02,1,Азербайджанский манат,33.6358,944
BGN,2018-04-02,1,Болгарский лев,36.0974,975
BRL,2018-04-02,1,Бразильский реал,17.3267,986
BYN,2018-04-02,1,Белорусский рубль,29.329,933
CAD,2018-04-02,1,Канадский доллар,44.5156,124
CHF,2018-04-02,1,Швейцарский франк,60.0828,756
CNY,2018-04-02,10,Китайских юаней,91.2719,156
CZK,2018-04-02,10,Чешских крон,27.8269,203
DKK,2018-04-02,10,Датских крон,94.7263,208
EUR,2018-04-02,1,Евро,70.5618,978
GBP,2018-04-02,1,Фунт стерлингов Соединенного королевства,80.4915,826
HKD,2018-04-02,10,Гонконгских долларов,72.9619,344
HUF,2018-04-02,100,Венгерских форинтов,22.5977,348
INR,2018-04-02,100,Индийских рупий,87.9443,356
JPY,2018-04-02,100,Японских иен,53.9294,392
KGS,2018-04-02,100,Киргизских сомов,83.5685,417
KRW,2018-04-02,1000,Вон Республики Корея,53.935,410
KZT,2018-04-02,100,Казахстанских тенге,17.9829,398
MDL,2018-04-02,10,Молдавских леев,34.8009,498
NOK,2018-04-02,10,Норвежских крон,73.1091,578
PLN,2018-04-02,1,Польский злотый,16.7853,985
RON,2018-04-02,1,Румынский лей,15.1607,946
SEK,2018-04-02,10,Шведских крон,68.6572,752
SGD,2018-04-02,1,Сингапурский доллар,43.717,702
TJS,2018-04-02,10,Таджикских сомони,64.8725,972
TMT,2018-04-02,1,Новый туркменский манат,16.3848,934
TRY,2018-04-02,1,Турецкая лира,14.4692,949
UAH,2018-04-02,10,Украинских гривен,21.7613,980
USD,2018-04-02,1,Доллар США,57.2649,840
UZS,2018-04-02,10000,Узбекских сумов,70.3586,860
XDR,2018-04-02,1,СДР (специальные права заимствования),83.2443,960
ZAR,2018-04-02,10,Южноафриканских рэндов,48.4176,710
AMD,2018-04-03,100,Армянских драмов,11.9329,051
AUD,2018-04-03,1,Австралийский доллар,44.035,036
AZN,2018-04-03,1,Азербайджанский манат,33.6476,944
BGN,2018-04-03,1,Болгарский лев,36.1146,975
BRL,2018-04-03,1,Бразильский реал,17.3323,986
BYN,2018-04-03,1,Белорусский рубль,29.3694,933
CAD,2018-04-03,1,Канадский доллар,44.4863,124
CHF,2018-04-03,1,Швейцарский франк,60.085,756
CNY,2018-04-03,10,Китайских юаней,91.2196,156
CZK,2018-04-03,10,Чешских крон,27.8447,203
DKK,2018-04-03,10,Датских крон,94.769,208
EUR,2018-04-03,1,Евро,70.6038,978
GBP,2018-04-03,1,Фунт стерлингов Соединенного королевства,80.5656,826
HKD,2018-04-03,10,Гонконгских долларов,72.9922,344
HUF,2018-04-03,100,Венгерских форинтов,22.5985,348
INR,2018-04-03,100,Индийских рупий,87.9751,356
JPY,2018-04-03,100,Японских иен,53.8874,392
KGS,2018-04-03,100,Киргизских сомов,83.8726,417
KRW,2018-04-03,1000,Вон Республики Корея,54.3449,410
KZT,2018-04-03,100,Казахстанских тенге,17.9372,398
MDL,2018-04-03,10,Молдавских леев,34.8767,498
NOK,2018-04-03,10,Норвежских крон,73.0555,578
PLN,2018-04-03,1,Польский злотый,16.7578,985
RON,2018-04-03,1,Румынский лей,15.1748,946
SEK,2018-04-03,10,Шведских крон,68.7365,752
SGD,2018-04-03,1,Сингапурский доллар,43.7424,702
TJS,2018-04-03,10,Таджикских сомони,64.9858,972
TMT,2018-04-03,1,Новый туркменский манат,16.3906,934
TRY,2018-04-03,1,Турецкая лира,14.4703,949
UAH,2018-04-03,10,Украинских гривен,21.8979,980
USD,2018-04-03,1,Доллар США,57.285,840
UZS,2018-04-03,10000,Узбекских сумов,70.3833,860
XDR,2018-04-03,1,СДР (специальные права заимствования),83.2844,960
ZAR,2018-04-03,10,Южноафриканских рэндов,48.494,710
AMD,2018-04-04,100,Армянских драмов,11.9995,051
AUD,2018-04-04,1,Австралийский доллар,44.2924,036
AZN,2018-04-04,1,Азербайджанский манат,33.7959,944
BGN,2018-04-04,1,Болгарский лев,36.2669,975
BRL,2018-04-04,1,Бразильский реал,17.3787,986
BYN,2018-04-04,1,Белорусский рубль,29.4234,933
CAD,2018-04-04,1,Канадский доллар,44.6858,124
CHF,2018-04-04,1,Швейцарский франк,60.3308,756
CNY,2018-04-04,10,Китайских юаней,91.5517,156
